"","Year","Country","Number of Significant Volcanic Eruptions","Number of Significant Earthquakes"
"690",2002,"Russia",0,0
"691",2002,"Saint Vincent and the Grenadines",0,0
"692",2002,"Samoa",0,0
"693",2002,"Saudi Arabia",0,0
"694",2002,"Solomon Islands",0,0
"695",2002,"Spain",0,0
"696",2002,"Taiwan",0,1
"697",2002,"Tanzania",0,1
"698",2002,"Tonga",0,0
"699",2002,"Trinidad and Tobago",0,0
"700",2002,"Turkey",0,1
"701",2002,"United States",0,3
"702",2002,"Vanuatu",0,2
"703",2002,"World",6,60
"704",2002,"Yemen",0,0
"705",2003,"Antarctica",0,1
"706",2003,"Cameroon",0,0
"707",2003,"Canada",0,0
"708",2003,"Chile",0,1
"709",2003,"China",0,14
"710",2003,"Colombia",0,0
"711",2003,"Costa Rica",0,0
"712",2003,"Ecuador",0,0
"713",2003,"El Salvador",0,0
"714",2003,"Eritrea",0,0
"715",2003,"Ethiopia",0,0
"716",2003,"Greece",0,2
"717",2003,"Guadeloupe",0,0
"718",2003,"Guatemala",0,0
"719",2003,"Iceland",0,0
"720",2003,"Indonesia",0,6
"721",2003,"Italy",0,2
"722",2003,"Japan",0,6
"723",2003,"Martinique",0,0
"724",2003,"Mexico",0,1
"725",2003,"Montserrat",1,0
"726",2003,"New Zealand",0,2
"727",2003,"Nicaragua",0,0
"728",2003,"North Korea",0,0
"729",2003,"Pacific Ocean",0,0
"730",2003,"Papua New Guinea",0,0
"731",2003,"Peru",0,0
"732",2003,"Philippines",0,3
"733",2003,"Portugal",0,0
"734",2003,"Russia",0,3
"735",2003,"Saint Vincent and the Grenadines",0,0
"736",2003,"Samoa",0,0
"737",2003,"Saudi Arabia",0,0
"738",2003,"Solomon Islands",0,1
"739",2003,"Spain",0,0
"740",2003,"Taiwan",0,1
"741",2003,"Tanzania",0,0
"742",2003,"Tonga",0,0
"743",2003,"Trinidad and Tobago",0,0
"744",2003,"Turkey",0,5
"745",2003,"United States",0,5
"746",2003,"Vanuatu",0,0
"747",2003,"World",1,72
"748",2003,"Yemen",0,0
"749",2004,"Antarctica",0,0
"750",2004,"Cameroon",0,0
"751",2004,"Canada",0,1
"752",2004,"Chile",0,2
"753",2004,"China",0,5
"754",2004,"Colombia",0,1
"755",2004,"Costa Rica",0,1
"756",2004,"Ecuador",0,0
"757",2004,"El Salvador",0,0
"758",2004,"Eritrea",0,0
"759",2004,"Ethiopia",0,0
"760",2004,"Greece",0,2
"761",2004,"Guadeloupe",0,1
"762",2004,"Guatemala",0,0
"763",2004,"Iceland",0,0
"764",2004,"Indonesia",2,12
"765",2004,"Italy",0,1
"766",2004,"Japan",0,8
"767",2004,"Martinique",0,0
"768",2004,"Mexico",0,1
"769",2004,"Montserrat",0,0
"770",2004,"New Zealand",0,2
"771",2004,"Nicaragua",0,1
"772",2004,"North Korea",0,0
"773",2004,"Pacific Ocean",0,0
"774",2004,"Papua New Guinea",1,0
"775",2004,"Peru",0,0
"776",2004,"Philippines",0,1
"777",2004,"Portugal",0,0
"778",2004,"Russia",0,1
"779",2004,"Saint Vincent and the Grenadines",0,0
"780",2004,"Samoa",0,0
"781",2004,"Saudi Arabia",0,1
"782",2004,"Solomon Islands",0,0
"783",2004,"Spain",0,0
"784",2004,"Taiwan",0,2
"785",2004,"Tanzania",0,0
"786",2004,"Tonga",0,0
"787",2004,"Trinidad and Tobago",0,1
"788",2004,"Turkey",0,7
"789",2004,"United States",0,1
"790",2004,"Vanuatu",0,0
"791",2004,"World",3,78
"792",2004,"Yemen",0,0
"793",2005,"Antarctica",0,0
"794",2005,"Cameroon",0,0
"795",2005,"Canada",0,0
"796",2005,"Chile",0,2
"797",2005,"China",0,7
"798",2005,"Colombia",0,0
"799",2005,"Costa Rica",0,0
"800",2005,"Ecuador",0,2
"801",2005,"El Salvador",1,0
"802",2005,"Eritrea",0,0
"803",2005,"Ethiopia",0,1
"804",2005,"Greece",0,0
"805",2005,"Guadeloupe",0,1
"806",2005,"Guatemala",0,0
"807",2005,"Iceland",0,0
"808",2005,"Indonesia",0,7
"809",2005,"Italy",0,0
"810",2005,"Japan",0,5
"811",2005,"Martinique",0,0
"812",2005,"Mexico",0,0
"813",2005,"Montserrat",0,0
"814",2005,"New Zealand",0,1
"815",2005,"Nicaragua",0,0
"816",2005,"North Korea",0,0
"817",2005,"Pacific Ocean",0,0
"818",2005,"Papua New Guinea",1,1
"819",2005,"Peru",0,3
"820",2005,"Philippines",0,0
"821",2005,"Portugal",0,0
"822",2005,"Russia",0,0
"823",2005,"Saint Vincent and the Grenadines",0,0
"824",2005,"Samoa",0,0
"825",2005,"Saudi Arabia",0,0
"826",2005,"Solomon Islands",0,0
"827",2005,"Spain",0,1
"828",2005,"Taiwan",0,0
"829",2005,"Tanzania",0,0
"830",2005,"Tonga",0,0
"831",2005,"Trinidad and Tobago",0,0
"832",2005,"Turkey",0,7
"833",2005,"United States",0,2
"834",2005,"Vanuatu",0,0
"835",2005,"World",3,60
"836",2005,"Yemen",0,0
"837",2006,"Antarctica",0,0
"838",2006,"Cameroon",0,0
"839",2006,"Canada",0,0
"840",2006,"Chile",0,0
"841",2006,"China",0,8
"842",2006,"Colombia",0,0
"843",2006,"Costa Rica",0,0
"844",2006,"Ecuador",2,0
"845",2006,"El Salvador",0,0
"846",2006,"Eritrea",0,0
"847",2006,"Ethiopia",0,0
"848",2006,"Greece",0,2
"849",2006,"Guadeloupe",0,0
"850",2006,"Guatemala",0,0
"851",2006,"Iceland",0,0
"852",2006,"Indonesia",1,10
"853",2006,"Italy",0,0
"854",2006,"Japan",0,1
"855",2006,"Martinique",0,0
"856",2006,"Mexico",0,1
"857",2006,"Montserrat",1,0
"858",2006,"New Zealand",1,0
"859",2006,"Nicaragua",0,0
"860",2006,"North Korea",0,0
"861",2006,"Pacific Ocean",0,0
"862",2006,"Papua New Guinea",0,0
"863",2006,"Peru",0,1
"864",2006,"Philippines",2,0
"865",2006,"Portugal",0,0
"866",2006,"Russia",0,2
"867",2006,"Saint Vincent and the Grenadines",0,0
"868",2006,"Samoa",0,1
"869",2006,"Saudi Arabia",0,0
"870",2006,"Solomon Islands",0,0
"871",2006,"Spain",0,0
"872",2006,"Taiwan",0,2
"873",2006,"Tanzania",0,0
"874",2006,"Tonga",0,1
"875",2006,"Trinidad and Tobago",0,2
"876",2006,"Turkey",0,1
"877",2006,"United States",0,1
"878",2006,"Vanuatu",0,0
"879",2006,"World",7,61
"880",2006,"Yemen",0,0
"881",2007,"Antarctica",0,0
"882",2007,"Cameroon",0,0
"883",2007,"Canada",0,0
"884",2007,"Chile",0,3
"885",2007,"China",0,4
"886",2007,"Colombia",1,2
"887",2007,"Costa Rica",0,0
"888",2007,"Ecuador",0,2
"889",2007,"El Salvador",0,0
"890",2007,"Eritrea",0,0
"891",2007,"Ethiopia",0,0
"892",2007,"Greece",0,1
"893",2007,"Guadeloupe",0,0
"894",2007,"Guatemala",0,1
"895",2007,"Iceland",0,0
"896",2007,"Indonesia",1,9
"897",2007,"Italy",0,0
"898",2007,"Japan",0,4
"899",2007,"Martinique",0,1
"900",2007,"Mexico",0,1
"901",2007,"Montserrat",0,0
"902",2007,"New Zealand",0,3
"903",2007,"Nicaragua",0,0
"904",2007,"North Korea",0,0
"905",2007,"Pacific Ocean",0,0
"906",2007,"Papua New Guinea",1,0
"907",2007,"Peru",0,1
"908",2007,"Philippines",0,2
"909",2007,"Portugal",0,0
"910",2007,"Russia",0,2
"911",2007,"Saint Vincent and the Grenadines",0,0
"912",2007,"Samoa",0,0
"913",2007,"Saudi Arabia",0,0
"914",2007,"Solomon Islands",0,2
"915",2007,"Spain",0,0
"916",2007,"Taiwan",0,0
"917",2007,"Tanzania",0,0
"918",2007,"Tonga",0,0
"919",2007,"Trinidad and Tobago",0,0
"920",2007,"Turkey",0,4
"921",2007,"United States",0,6
"922",2007,"Vanuatu",0,2
"923",2007,"World",4,67
"924",2007,"Yemen",1,0
"925",2008,"Antarctica",0,0
"926",2008,"Cameroon",0,0
"927",2008,"Canada",0,0
"928",2008,"Chile",1,0
"929",2008,"China",0,15
"930",2008,"Colombia",1,1
"931",2008,"Costa Rica",0,1
"932",2008,"Ecuador",1,0
"933",2008,"El Salvador",0,0
"934",2008,"Eritrea",0,0
"935",2008,"Ethiopia",0,0
"936",2008,"Greece",0,1
"937",2008,"Guadeloupe",0,0
"938",2008,"Guatemala",0,2
"939",2008,"Iceland",0,1
"940",2008,"Indonesia",0,6
"941",2008,"Italy",0,0
"942",2008,"Japan",0,5
"943",2008,"Martinique",0,0
"944",2008,"Mexico",0,1
"945",2008,"Montserrat",0,0
"946",2008,"New Zealand",0,1
"947",2008,"Nicaragua",0,0
"948",2008,"North Korea",0,0
"949",2008,"Pacific Ocean",0,0
"950",2008,"Papua New Guinea",0,0
"951",2008,"Peru",0,3
"952",2008,"Philippines",0,1
"953",2008,"Portugal",0,0
"954",2008,"Russia",0,3
"955",2008,"Saint Vincent and the Grenadines",0,0
"956",2008,"Samoa",0,0
"957",2008,"Saudi Arabia",0,0
"958",2008,"Solomon Islands",0,0
"959",2008,"Spain",0,0
"960",2008,"Taiwan",0,0
"961",2008,"Tanzania",0,0
"962",2008,"Tonga",0,0
"963",2008,"Trinidad and Tobago",0,0
"964",2008,"Turkey",0,1
"965",2008,"United States",1,4
"966",2008,"Vanuatu",0,1
"967",2008,"World",4,77
"968",2008,"Yemen",0,0
"969",2009,"Antarctica",0,0
"970",2009,"Cameroon",0,0
"971",2009,"Canada",0,0
"972",2009,"Chile",0,0
"973",2009,"China",0,6
"974",2009,"Colombia",0,0
"975",2009,"Costa Rica",0,1
"976",2009,"Ecuador",0,1
"977",2009,"El Salvador",0,0
"978",2009,"Eritrea",0,0
"979",2009,"Ethiopia",0,0
"980",2009,"Greece",0,0
"981",2009,"Guadeloupe",0,0
"982",2009,"Guatemala",0,0
"983",2009,"Iceland",0,0
"984",2009,"Indonesia",0,9
"985",2009,"Italy",0,2
"986",2009,"Japan",0,2
"987",2009,"Martinique",0,0
"988",2009,"Mexico",0,1
"989",2009,"Montserrat",0,0
"990",2009,"New Zealand",0,1
"991",2009,"Nicaragua",0,1
"992",2009,"North Korea",0,0
"993",2009,"Pacific Ocean",0,0
"994",2009,"Papua New Guinea",0,0
"995",2009,"Peru",0,1
"996",2009,"Philippines",0,1
"997",2009,"Portugal",0,0
"998",2009,"Russia",0,1
"999",2009,"Saint Vincent and the Grenadines",0,0
"1000",2009,"Samoa",0,1
"1001",2009,"Saudi Arabia",0,2
"1002",2009,"Solomon Islands",0,1
"1003",2009,"Spain",0,0
"1004",2009,"Taiwan",0,1
"1005",2009,"Tanzania",0,0
"1006",2009,"Tonga",0,1
"1007",2009,"Trinidad and Tobago",0,0
"1008",2009,"Turkey",0,0
"1009",2009,"United States",2,0
"1010",2009,"Vanuatu",0,3
"1011",2009,"World",2,60
"1012",2009,"Yemen",0,0
"1013",2010,"Antarctica",0,0
"1014",2010,"Cameroon",0,0
"1015",2010,"Canada",0,1
"1016",2010,"Chile",0,2
"1017",2010,"China",0,5
"1018",2010,"Colombia",0,0
"1019",2010,"Costa Rica",0,0
"1020",2010,"Ecuador",2,1
"1021",2010,"El Salvador",0,0
"1022",2010,"Eritrea",0,0
"1023",2010,"Ethiopia",0,1
"1024",2010,"Greece",0,0
"1025",2010,"Guadeloupe",0,0
"1026",2010,"Guatemala",1,0
"1027",2010,"Iceland",1,0
"1028",2010,"Indonesia",4,5
"1029",2010,"Italy",0,0
"1030",2010,"Japan",0,2
"1031",2010,"Martinique",0,0
"1032",2010,"Mexico",0,2
"1033",2010,"Montserrat",0,0
"1034",2010,"New Zealand",0,5
"1035",2010,"Nicaragua",0,0
"1036",2010,"North Korea",0,0
"1037",2010,"Pacific Ocean",0,0
"1038",2010,"Papua New Guinea",0,0
"1039",2010,"Peru",0,1
"1040",2010,"Philippines",0,1
"1041",2010,"Portugal",0,0
"1042",2010,"Russia",0,0
"1043",2010,"Saint Vincent and the Grenadines",0,0
"1044",2010,"Samoa",0,0
"1045",2010,"Saudi Arabia",0,0
"1046",2010,"Solomon Islands",0,3
"1047",2010,"Spain",0,0
"1048",2010,"Taiwan",0,1
"1049",2010,"Tanzania",0,0
"1050",2010,"Tonga",0,0
"1051",2010,"Trinidad and Tobago",0,0
"1052",2010,"Turkey",0,1
"1053",2010,"United States",1,3
"1054",2010,"Vanuatu",0,2
"1055",2010,"World",9,62
"1056",2010,"Yemen",0,0
"1057",2011,"Antarctica",0,0
"1058",2011,"Cameroon",0,0
"1059",2011,"Canada",0,0
"1060",2011,"Chile",1,1
"1061",2011,"China",0,10
"1062",2011,"Colombia",0,0
"1063",2011,"Costa Rica",0,0
"1064",2011,"Ecuador",1,1
"1065",2011,"El Salvador",0,1
"1066",2011,"Eritrea",1,0
"1067",2011,"Ethiopia",0,0
"1068",2011,"Greece",0,0
"1069",2011,"Guadeloupe",0,0
"1070",2011,"Guatemala",0,1
"1071",2011,"Iceland",1,0
"1072",2011,"Indonesia",4,2
"1073",2011,"Italy",0,0
"1074",2011,"Japan",1,7
"1075",2011,"Martinique",0,0
"1076",2011,"Mexico",0,1
"1077",2011,"Montserrat",0,0
"1078",2011,"New Zealand",0,4
"1079",2011,"Nicaragua",0,0
"1080",2011,"North Korea",0,0
"1081",2011,"Pacific Ocean",0,0
"1082",2011,"Papua New Guinea",0,0
"1083",2011,"Peru",0,1
"1084",2011,"Philippines",1,2
"1085",2011,"Portugal",0,0
"1086",2011,"Russia",0,1
"1087",2011,"Saint Vincent and the Grenadines",0,0
"1088",2011,"Samoa",0,0
"1089",2011,"Saudi Arabia",0,0
"1090",2011,"Solomon Islands",0,0
"1091",2011,"Spain",0,1
"1092",2011,"Taiwan",0,0
"1093",2011,"Tanzania",0,0
"1094",2011,"Tonga",0,0
"1095",2011,"Trinidad and Tobago",0,0
"1096",2011,"Turkey",0,3
"1097",2011,"United States",0,7
"1098",2011,"Vanuatu",0,3
"1099",2011,"World",10,59
"1100",2011,"Yemen",0,0
"1101",2012,"Antarctica",0,0
"1102",2012,"Cameroon",0,0
"1103",2012,"Canada",0,1
"1104",2012,"Chile",0,3
"1105",2012,"China",0,5
"1106",2012,"Colombia",0,0
"1107",2012,"Costa Rica",0,1
"1108",2012,"Ecuador",0,0
"1109",2012,"El Salvador",0,0
"1110",2012,"Eritrea",0,0
"1111",2012,"Ethiopia",0,0
"1112",2012,"Greece",0,0
"1113",2012,"Guadeloupe",0,0
"1114",2012,"Guatemala",0,1
"1115",2012,"Iceland",0,0
"1116",2012,"Indonesia",0,5
"1117",2012,"Italy",0,3
"1118",2012,"Japan",0,2
"1119",2012,"Martinique",0,0
"1120",2012,"Mexico",0,1
"1121",2012,"Montserrat",0,0
"1122",2012,"New Zealand",0,0
"1123",2012,"Nicaragua",0,1
"1124",2012,"North Korea",0,0
"1125",2012,"Pacific Ocean",0,0
"1126",2012,"Papua New Guinea",0,0
"1127",2012,"Peru",0,1
"1128",2012,"Philippines",0,4
"1129",2012,"Portugal",0,0
"1130",2012,"Russia",1,1
"1131",2012,"Saint Vincent and the Grenadines",0,0
"1132",2012,"Samoa",0,0
"1133",2012,"Saudi Arabia",0,0
"1134",2012,"Solomon Islands",0,1
"1135",2012,"Spain",0,0
"1136",2012,"Taiwan",0,1
"1137",2012,"Tanzania",0,0
"1138",2012,"Tonga",0,0
"1139",2012,"Trinidad and Tobago",0,0
"1140",2012,"Turkey",0,2
"1141",2012,"United States",2,0
"1142",2012,"Vanuatu",0,2
"1143",2012,"World",3,48
"1144",2012,"Yemen",0,0
"1145",2013,"Antarctica",0,1
"1146",2013,"Cameroon",0,0
"1147",2013,"Canada",0,0
"1148",2013,"Chile",0,0
"1149",2013,"China",0,9
"1150",2013,"Colombia",0,1
"1151",2013,"Costa Rica",0,0
"1152",2013,"Ecuador",0,0
"1153",2013,"El Salvador",0,0
"1154",2013,"Eritrea",0,0
"1155",2013,"Ethiopia",0,0
"1156",2013,"Greece",0,2
"1157",2013,"Guadeloupe",0,0
"1158",2013,"Guatemala",0,1
"1159",2013,"Iceland",0,0
"1160",2013,"Indonesia",4,5
"1161",2013,"Italy",0,0
"1162",2013,"Japan",1,3
"1163",2013,"Martinique",0,0
"1164",2013,"Mexico",0,1
"1165",2013,"Montserrat",0,0
"1166",2013,"New Zealand",1,2
"1167",2013,"Nicaragua",0,0
"1168",2013,"North Korea",0,0
"1169",2013,"Pacific Ocean",0,0
"1170",2013,"Papua New Guinea",0,0
"1171",2013,"Peru",1,2
"1172",2013,"Philippines",1,2
"1173",2013,"Portugal",0,0
"1174",2013,"Russia",0,4
"1175",2013,"Saint Vincent and the Grenadines",0,0
"1176",2013,"Samoa",0,0
"1177",2013,"Saudi Arabia",0,0
"1178",2013,"Solomon Islands",0,2
"1179",2013,"Spain",0,0
"1180",2013,"Taiwan",0,2
"1181",2013,"Tanzania",0,0
"1182",2013,"Tonga",0,0
"1183",2013,"Trinidad and Tobago",0,0
"1184",2013,"Turkey",0,0
"1185",2013,"United States",0,2
"1186",2013,"Vanuatu",0,0
"1187",2013,"World",8,52
"1188",2013,"Yemen",0,0
"1189",2014,"Antarctica",0,0
"1190",2014,"Cameroon",0,0
"1191",2014,"Canada",0,0
"1192",2014,"Chile",0,4
"1193",2014,"China",0,8
"1194",2014,"Colombia",0,1
"1195",2014,"Costa Rica",0,0
"1196",2014,"Ecuador",0,1
"1197",2014,"El Salvador",0,1
"1198",2014,"Eritrea",0,0
"1199",2014,"Ethiopia",0,0
"1200",2014,"Greece",0,3
"1201",2014,"Guadeloupe",0,0
"1202",2014,"Guatemala",0,0
"1203",2014,"Iceland",0,0
"1204",2014,"Indonesia",3,2
"1205",2014,"Italy",0,0
"1206",2014,"Japan",1,3
"1207",2014,"Martinique",0,0
"1208",2014,"Mexico",0,4
"1209",2014,"Montserrat",0,0
"1210",2014,"New Zealand",0,2
"1211",2014,"Nicaragua",0,2
"1212",2014,"North Korea",0,0
"1213",2014,"Pacific Ocean",0,0
"1214",2014,"Papua New Guinea",0,2
"1215",2014,"Peru",0,1
"1216",2014,"Philippines",0,1
"1217",2014,"Portugal",0,0
"1218",2014,"Russia",0,0
"1219",2014,"Saint Vincent and the Grenadines",0,0
"1220",2014,"Samoa",0,0
"1221",2014,"Saudi Arabia",0,0
"1222",2014,"Solomon Islands",0,2
"1223",2014,"Spain",0,0
"1224",2014,"Taiwan",0,0
"1225",2014,"Tanzania",0,0
"1226",2014,"Tonga",0,0
"1227",2014,"Trinidad and Tobago",0,0
"1228",2014,"Turkey",0,0
"1229",2014,"United States",1,6
"1230",2014,"Vanuatu",0,0
"1231",2014,"World",6,55
"1232",2014,"Yemen",0,0
"1233",2015,"Antarctica",0,0
"1234",2015,"Cameroon",0,0
"1235",2015,"Canada",0,0
"1236",2015,"Chile",1,2
"1237",2015,"China",0,6
"1238",2015,"Colombia",0,1
"1239",2015,"Costa Rica",0,0
"1240",2015,"Ecuador",0,0
"1241",2015,"El Salvador",0,1
"1242",2015,"Eritrea",0,0
"1243",2015,"Ethiopia",0,0
"1244",2015,"Greece",0,1
"1245",2015,"Guadeloupe",0,0
"1246",2015,"Guatemala",0,0
"1247",2015,"Iceland",0,0
"1248",2015,"Indonesia",3,3
"1249",2015,"Italy",0,0
"1250",2015,"Japan",0,4
"1251",2015,"Martinique",0,0
"1252",2015,"Mexico",0,1
"1253",2015,"Montserrat",0,0
"1254",2015,"New Zealand",1,0
"1255",2015,"Nicaragua",0,0
"1256",2015,"North Korea",0,0
"1257",2015,"Pacific Ocean",0,0
"1258",2015,"Papua New Guinea",1,2
"1259",2015,"Peru",0,3
"1260",2015,"Philippines",0,1
"1261",2015,"Portugal",0,0
"1262",2015,"Russia",0,0
"1263",2015,"Saint Vincent and the Grenadines",0,0
"1264",2015,"Samoa",0,0
"1265",2015,"Saudi Arabia",0,0
"1266",2015,"Solomon Islands",0,2
"1267",2015,"Spain",0,0
"1268",2015,"Taiwan",0,1
"1269",2015,"Tanzania",0,0
"1270",2015,"Tonga",0,0
"1271",2015,"Trinidad and Tobago",0,0
"1272",2015,"Turkey",0,0
"1273",2015,"United States",0,1
"1274",2015,"Vanuatu",0,1
"1275",2015,"World",6,47
"1276",2015,"Yemen",0,0
"1277",2016,"Antarctica",0,0
"1278",2016,"Cameroon",0,0
"1279",2016,"Canada",0,0
"1280",2016,"Chile",0,1
"1281",2016,"China",0,2
"1282",2016,"Colombia",0,0
"1283",2016,"Costa Rica",0,0
"1284",2016,"Ecuador",0,3
"1285",2016,"El Salvador",0,0
"1286",2016,"Eritrea",0,0
"1287",2016,"Ethiopia",0,0
"1288",2016,"Greece",0,0
"1289",2016,"Guadeloupe",0,0
"1290",2016,"Guatemala",0,0
"1291",2016,"Iceland",0,0
"1292",2016,"Indonesia",3,6
"1293",2016,"Italy",0,3
"1294",2016,"Japan",1,3
"1295",2016,"Martinique",0,0
"1296",2016,"Mexico",0,0
"1297",2016,"Montserrat",0,0
"1298",2016,"New Zealand",0,2
"1299",2016,"Nicaragua",0,1
"1300",2016,"North Korea",0,0
"1301",2016,"Pacific Ocean",0,0
"1302",2016,"Papua New Guinea",0,1
"1303",2016,"Peru",0,2
"1304",2016,"Philippines",0,0
"1305",2016,"Portugal",0,0
"1306",2016,"Russia",0,0
"1307",2016,"Saint Vincent and the Grenadines",0,0
"1308",2016,"Samoa",0,0
"1309",2016,"Saudi Arabia",0,0
"1310",2016,"Solomon Islands",0,2
"1311",2016,"Spain",0,0
"1312",2016,"Taiwan",0,1
"1313",2016,"Tanzania",0,1
"1314",2016,"Tonga",0,0
"1315",2016,"Trinidad and Tobago",0,0
"1316",2016,"Turkey",0,0
"1317",2016,"United States",1,2
"1318",2016,"Vanuatu",0,1
"1319",2016,"World",5,47
"1320",2016,"Yemen",0,0
"1321",2017,"Antarctica",0,0
"1322",2017,"Cameroon",0,0
"1323",2017,"Canada",0,0
"1324",2017,"Chile",0,2
"1325",2017,"China",0,4
"1326",2017,"Colombia",0,0
"1327",2017,"Costa Rica",0,1
"1328",2017,"Ecuador",0,0
"1329",2017,"El Salvador",0,1
"1330",2017,"Eritrea",0,0
"1331",2017,"Ethiopia",0,0
"1332",2017,"Greece",0,1
"1333",2017,"Guadeloupe",0,0
"1334",2017,"Guatemala",1,2
"1335",2017,"Iceland",0,0
"1336",2017,"Indonesia",4,4
"1337",2017,"Italy",2,2
"1338",2017,"Japan",0,0
"1339",2017,"Martinique",0,0
"1340",2017,"Mexico",0,3
"1341",2017,"Montserrat",0,0
"1342",2017,"New Zealand",0,0
"1343",2017,"Nicaragua",0,0
"1344",2017,"North Korea",0,0
"1345",2017,"Pacific Ocean",0,0
"1346",2017,"Papua New Guinea",0,1
"1347",2017,"Peru",0,2
"1348",2017,"Philippines",0,7
"1349",2017,"Portugal",0,0
"1350",2017,"Russia",0,1
"1351",2017,"Saint Vincent and the Grenadines",0,0
"1352",2017,"Samoa",0,0
"1353",2017,"Saudi Arabia",0,0
"1354",2017,"Solomon Islands",0,0
"1355",2017,"Spain",0,0
"1356",2017,"Taiwan",0,0
"1357",2017,"Tanzania",0,1
"1358",2017,"Tonga",0,0
"1359",2017,"Trinidad and Tobago",0,0
"1360",2017,"Turkey",0,2
"1361",2017,"United States",0,1
"1362",2017,"Vanuatu",1,0
"1363",2017,"World",8,53
"1364",2017,"Yemen",0,0
